Date,Adj Close,Date,Adj Close
11/6/2012,3011.929932,11/6/2012,12.58
11/7/2012,2937.290039,11/7/2012,13.5
11/8/2012,2895.580078,11/8/2012,12.47
11/9/2012,2904.870117,11/9/2012,13.13
11/12/2012,2904.25,11/12/2012,13.02
11/13/2012,2883.889893,11/13/2012,12.9
11/14/2012,2846.810059,11/14/2012,13.17
11/15/2012,2836.939941,11/15/2012,13.05
11/16/2012,2853.129883,11/16/2012,13.54
11/19/2012,2916.070068,11/19/2012,13.68
11/20/2012,2916.679932,11/20/2012,13.92
11/21/2012,2926.550049,11/21/2012,14.11
11/23/2012,2966.850098,11/23/2012,13.81
11/26/2012,2976.780029,11/26/2012,14.28
11/27/2012,2967.790039,11/27/2012,13.74
11/28/2012,2991.780029,11/28/2012,13.6
11/29/2012,3012.030029,11/29/2012,14.7
11/30/2012,3010.23999,11/30/2012,13.94
12/3/2012,3002.199951,12/3/2012,12.87
12/4/2012,2996.689941,12/4/2012,12.74
12/5/2012,2973.699951,12/5/2012,12.58
12/6/2012,2989.27002,12/6/2012,12.63
12/7/2012,2978.040039,12/7/2012,12.61
12/10/2012,2986.959961,12/10/2012,12.28
12/11/2012,3022.300049,12/11/2012,13.09
12/12/2012,3013.810059,12/12/2012,13.29
12/13/2012,2992.159912,12/13/2012,13.7
12/14/2012,2971.330078,12/14/2012,13.27
12/17/2012,3010.600098,12/17/2012,13.4
12/18/2012,3054.530029,12/18/2012,13.18
12/19/2012,3044.360107,12/19/2012,13.75
12/20/2012,3050.389893,12/20/2012,13.21
12/21/2012,3021.01001,12/21/2012,12.28
12/24/2012,3012.600098,12/24/2012,12.68
12/26/2012,2990.159912,12/26/2012,13.14
12/27/2012,2985.909912,12/27/2012,12.56
12/28/2012,2960.310059,12/28/2012,12.37
12/31/2012,3019.51001,12/31/2012,12.44
1/2/2013,3112.26001,1/2/2013,13.19
1/3/2013,3100.570068,1/3/2013,13.52
1/4/2013,3101.659912,1/4/2013,13.84
1/7/2013,3098.810059,1/7/2013,14.21
1/8/2013,3091.810059,1/8/2013,14.43
1/9/2013,3105.810059,1/9/2013,14.85
1/10/2013,3121.76001,1/10/2013,14.98
1/11/2013,3125.629883,1/11/2013,14.95
1/14/2013,3117.5,1/14/2013,15.37
1/15/2013,3110.780029,1/15/2013,15.25
1/16/2013,3117.540039,1/16/2013,14.54
1/17/2013,3136,1/17/2013,14.5
1/18/2013,3134.709961,1/18/2013,14.72
1/22/2013,3143.179932,1/22/2013,14.53
1/23/2013,3153.669922,1/23/2013,15
1/24/2013,3130.379883,1/24/2013,14.51
1/25/2013,3149.709961,1/25/2013,14.52
1/28/2013,3154.300049,1/28/2013,14.91
1/29/2013,3153.659912,1/29/2013,14.88
1/30/2013,3142.310059,1/30/2013,14.53
1/31/2013,3142.129883,1/31/2013,15.32
2/1/2013,3179.100098,2/1/2013,15.3
2/4/2013,3131.169922,2/4/2013,15.19
2/5/2013,3171.580078,2/5/2013,15.67
2/6/2013,3168.47998,2/6/2013,14.54
2/7/2013,3165.129883,2/7/2013,14.25
2/8/2013,3193.870117,2/8/2013,14.42
2/11/2013,3192,2/11/2013,14.11
2/12/2013,3186.48999,2/12/2013,14.25
2/13/2013,3196.879883,2/13/2013,14.05
2/14/2013,3198.659912,2/14/2013,14.11
2/15/2013,3192.030029,2/15/2013,14.16
2/19/2013,3213.590088,2/19/2013,14.11
2/20/2013,3164.409912,2/20/2013,13.75
2/21/2013,3131.48999,2/21/2013,13.97
2/22/2013,3161.820068,2/22/2013,13.56
2/25/2013,3116.25,2/25/2013,13.65
2/26/2013,3129.649902,2/26/2013,13.75
2/27/2013,3162.26001,2/27/2013,13.6
2/28/2013,3160.189941,2/28/2013,13.49
3/1/2013,3169.73999,3/1/2013,13.1
3/4/2013,3182.030029,3/4/2013,13.5
3/5/2013,3224.129883,3/5/2013,13.56
3/6/2013,3222.370117,3/6/2013,13.27
3/7/2013,3232.090088,3/7/2013,13.74
3/8/2013,3244.370117,3/8/2013,13.78
3/11/2013,3252.870117,3/11/2013,13.68
3/12/2013,3242.320068,3/12/2013,14.25
3/13/2013,3245.120117,3/13/2013,14.29
3/14/2013,3258.929932,3/14/2013,14.16
3/15/2013,3249.070068,3/15/2013,13.98
3/18/2013,3237.590088,3/18/2013,14.02
3/19/2013,3229.100098,3/19/2013,14.28
3/20/2013,3254.189941,3/20/2013,14.35
3/21/2013,3222.600098,3/21/2013,14.34
3/22/2013,3245,3/22/2013,14.35
3/25/2013,3235.300049,3/25/2013,14.42
3/26/2013,3252.47998,3/26/2013,14
3/27/2013,3256.52002,3/27/2013,13.91
3/28/2013,3267.52002,3/28/2013,13.9
4/1/2013,3239.169922,4/1/2013,13.77
4/2/2013,3254.860107,4/2/2013,13.78
4/3/2013,3218.600098,4/3/2013,13.9
4/4/2013,3224.97998,4/4/2013,13.67
4/5/2013,3203.860107,4/5/2013,13.7
4/8/2013,3222.25,4/8/2013,13.98
4/9/2013,3237.860107,4/9/2013,13.95
4/10/2013,3297.25,4/10/2013,13.8
4/11/2013,3300.159912,4/11/2013,13.82
4/12/2013,3294.949951,4/12/2013,13.8
4/15/2013,3216.48999,4/15/2013,13.66
4/16/2013,3264.629883,4/16/2013,13.05
4/17/2013,3204.669922,4/17/2013,13.19
4/18/2013,3166.360107,4/18/2013,12.98
4/19/2013,3206.060059,4/19/2013,13.04
4/22/2013,3233.550049,4/22/2013,13.07
4/23/2013,3269.330078,4/23/2013,12.99
4/24/2013,3269.649902,4/24/2013,13.18
4/25/2013,3289.98999,4/25/2013,12.76
4/26/2013,3279.26001,4/26/2013,12.88
4/29/2013,3307.02002,4/29/2013,12.75
4/30/2013,3328.790039,4/30/2013,12.84
5/1/2013,3299.129883,5/1/2013,12.85
5/2/2013,3340.620117,5/2/2013,12.76
5/3/2013,3378.629883,5/3/2013,13
5/6/2013,3392.969971,5/6/2013,12.97
5/7/2013,3396.629883,5/7/2013,12.97
5/8/2013,3413.27002,5/8/2013,13
5/9/2013,3409.169922,5/9/2013,13.02
5/10/2013,3436.580078,5/10/2013,13.08
5/13/2013,3438.790039,5/13/2013,13.1
5/14/2013,3462.610107,5/14/2013,12.96
5/15/2013,3471.620117,5/15/2013,13.08
5/16/2013,3465.23999,5/16/2013,12.92
5/17/2013,3498.969971,5/17/2013,12.89
5/20/2013,3496.429932,5/20/2013,12.68
5/21/2013,3502.120117,5/21/2013,13.23
5/22/2013,3463.300049,5/22/2013,12.87
5/23/2013,3459.419922,5/23/2013,12.55
5/24/2013,3459.139893,5/24/2013,12.71
5/28/2013,3488.889893,5/28/2013,12.99
5/29/2013,3467.52002,5/29/2013,12.71
5/30/2013,3491.300049,5/30/2013,12.85
5/31/2013,3455.909912,5/31/2013,12.79
6/3/2013,3465.370117,6/3/2013,12.74
6/4/2013,3445.26001,6/4/2013,13.15
6/5/2013,3401.47998,6/5/2013,13.15
6/6/2013,3424.050049,6/6/2013,12.86
6/7/2013,3469.219971,6/7/2013,12.85
6/10/2013,3473.77002,6/10/2013,13.23
6/11/2013,3436.949951,6/11/2013,12.94
6/12/2013,3400.429932,6/12/2013,13.33
6/13/2013,3445.360107,6/13/2013,13.38
6/14/2013,3423.560059,6/14/2013,13.6
6/17/2013,3452.129883,6/17/2013,13.9
6/18/2013,3482.179932,6/18/2013,13.93
6/19/2013,3443.199951,6/19/2013,14.12
6/20/2013,3364.639893,6/20/2013,13.69
6/21/2013,3357.25,6/21/2013,13.52
6/24/2013,3320.76001,6/24/2013,13.19
6/25/2013,3347.889893,6/25/2013,13.23
6/26/2013,3376.219971,6/26/2013,13.54
6/27/2013,3401.860107,6/27/2013,13.96
6/28/2013,3403.25,6/28/2013,14.27
7/1/2013,3434.48999,7/1/2013,14.13
7/2/2013,3433.399902,7/2/2013,13.7
7/3/2013,3443.669922,7/3/2013,14
7/5/2013,3479.379883,7/5/2013,14.1
7/8/2013,3484.830078,7/8/2013,14.01
7/9/2013,3504.26001,7/9/2013,13.98
7/10/2013,3520.76001,7/10/2013,13.52
7/11/2013,3578.300049,7/11/2013,13.65
7/12/2013,3600.080078,7/12/2013,13.88
7/15/2013,3607.48999,7/15/2013,13.66
7/16/2013,3598.5,7/16/2013,13.6
7/17/2013,3610,7/17/2013,13.77
7/18/2013,3611.280029,7/18/2013,13.51
7/19/2013,3587.610107,7/19/2013,13.5
7/22/2013,3600.389893,7/22/2013,13.52
7/23/2013,3579.27002,7/23/2013,13.55
7/24/2013,3579.600098,7/24/2013,14.01
7/25/2013,3605.189941,7/25/2013,13.97
7/26/2013,3613.159912,7/26/2013,14.04
7/29/2013,3599.139893,7/29/2013,14.02
7/30/2013,3616.469971,7/30/2013,13.97
7/31/2013,3626.370117,7/31/2013,14.19
8/1/2013,3675.73999,8/1/2013,13.81
8/2/2013,3689.590088,8/2/2013,13.99
8/5/2013,3692.949951,8/5/2013,13.71
8/6/2013,3665.77002,8/6/2013,13.59
8/7/2013,3654.01001,8/7/2013,13.8
8/8/2013,3669.120117,8/8/2013,13.53
8/9/2013,3660.110107,8/9/2013,13.54
8/12/2013,3669.949951,8/12/2013,13.13
8/13/2013,3684.439941,8/13/2013,13.33
8/14/2013,3669.27002,8/14/2013,13.58
8/15/2013,3606.120117,8/15/2013,13.54
8/16/2013,3602.780029,8/16/2013,13.41
8/19/2013,3589.090088,8/19/2013,13.42
8/20/2013,3613.590088,8/20/2013,13.55
8/21/2013,3599.790039,8/21/2013,13.74
8/22/2013,3638.709961,8/22/2013,13.85
8/23/2013,3657.790039,8/23/2013,14.07
8/26/2013,3657.570068,8/26/2013,14.04
8/27/2013,3578.52002,8/27/2013,13.49
8/28/2013,3593.350098,8/28/2013,13.35
8/29/2013,3620.300049,8/29/2013,13.75
8/30/2013,3589.870117,8/30/2013,13.65
9/3/2013,3612.610107,9/3/2013,13.67
9/4/2013,3649.040039,9/4/2013,13.95
9/5/2013,3658.780029,9/5/2013,13.99
9/6/2013,3660.01001,9/6/2013,13.79
9/9/2013,3706.179932,9/9/2013,13.62
9/10/2013,3729.02002,9/10/2013,13.66
9/11/2013,3725.01001,9/11/2013,13.68
9/12/2013,3715.969971,9/12/2013,13.42
9/13/2013,3722.179932,9/13/2013,13.6
9/16/2013,3717.850098,9/16/2013,13.64
9/17/2013,3745.699951,9/17/2013,13.85
9/18/2013,3783.639893,9/18/2013,13.96
9/19/2013,3789.379883,9/19/2013,13.86
9/20/2013,3774.72998,9/20/2013,13.16
9/23/2013,3765.290039,9/23/2013,14.15
9/24/2013,3768.25,9/24/2013,14.18
9/25/2013,3761.100098,9/25/2013,13.95
9/26/2013,3787.429932,9/26/2013,14.49
9/27/2013,3781.590088,9/27/2013,15.25
9/30/2013,3771.47998,9/30/2013,14.84
10/1/2013,3817.97998,10/1/2013,15.04
10/2/2013,3815.02002,10/2/2013,15
10/3/2013,3774.340088,10/3/2013,14.9
10/4/2013,3807.75,10/4/2013,14.94
10/7/2013,3770.379883,10/7/2013,15.13
10/8/2013,3694.830078,10/8/2013,14.45
10/9/2013,3677.780029,10/9/2013,14.08
10/10/2013,3760.75,10/10/2013,14.15
10/11/2013,3791.870117,10/11/2013,14.33
10/14/2013,3815.280029,10/14/2013,14.35
10/15/2013,3794.01001,10/15/2013,14
10/16/2013,3839.429932,10/16/2013,14.17
10/17/2013,3863.149902,10/17/2013,14.11
10/18/2013,3914.280029,10/18/2013,14.51
10/21/2013,3920.050049,10/21/2013,15.15
10/22/2013,3929.570068,10/22/2013,15.02
10/23/2013,3907.070068,10/23/2013,14.79
10/24/2013,3928.959961,10/24/2013,14.51
10/25/2013,3943.360107,10/25/2013,14.03
10/28/2013,3940.129883,10/28/2013,13.82
10/29/2013,3952.340088,10/29/2013,14.09
10/30/2013,3930.620117,10/30/2013,13.65
10/31/2013,3919.709961,10/31/2013,15
11/1/2013,3922.040039,11/1/2013,15.33
11/4/2013,3936.590088,11/4/2013,15.19
11/5/2013,3939.860107,11/5/2013,15.21
11/6/2013,3931.949951,11/6/2013,15.08
11/7/2013,3857.330078,11/7/2013,15.01
11/8/2013,3919.22998,11/8/2013,15.08
11/11/2013,3919.790039,11/11/2013,15.1
11/12/2013,3919.919922,11/12/2013,16.27
11/13/2013,3965.580078,11/13/2013,15.49
11/14/2013,3972.73999,11/14/2013,15.5
11/15/2013,3985.969971,11/15/2013,15.61
11/18/2013,3949.070068,11/18/2013,15.95
11/19/2013,3931.550049,11/19/2013,15.44
11/20/2013,3921.27002,11/20/2013,15.22
11/21/2013,3969.159912,11/21/2013,15.24
11/22/2013,3991.649902,11/22/2013,15.51
11/25/2013,3994.570068,11/25/2013,15.61
11/26/2013,4017.75,11/26/2013,15.68
11/27/2013,4044.75,11/27/2013,15.9
11/29/2013,4059.889893,11/29/2013,15.96
12/2/2013,4045.26001,12/2/2013,16
12/3/2013,4037.199951,12/3/2013,16.85
12/4/2013,4038,12/4/2013,17.26
12/5/2013,4033.169922,12/5/2013,18.219999
12/6/2013,4062.52002,12/6/2013,19.34
12/9/2013,4068.75,12/9/2013,18.959999
12/10/2013,4060.48999,12/10/2013,18.389999
12/11/2013,4003.810059,12/11/2013,18.190001
12/12/2013,3998.399902,12/12/2013,17.799999
12/13/2013,4000.97998,12/13/2013,17.700001
12/16/2013,4029.52002,12/16/2013,16.99
12/17/2013,4023.679932,12/17/2013,17.65
12/18/2013,4070.060059,12/18/2013,17.84
12/19/2013,4058.139893,12/19/2013,18.879999
12/20/2013,4104.740234,12/20/2013,18.68
12/23/2013,4148.899902,12/23/2013,18.879999
12/24/2013,4155.419922,12/24/2013,18.799999
12/26/2013,4167.180176,12/26/2013,19.01
12/27/2013,4156.589844,12/27/2013,18.98
12/30/2013,4154.200195,12/30/2013,19.040001
12/31/2013,4176.589844,12/31/2013,19.26
1/2/2014,4143.069824,1/2/2014,19.82
1/3/2014,4131.910156,1/3/2014,20.389999
1/6/2014,4113.680176,1/6/2014,19.889999
1/7/2014,4153.180176,1/7/2014,20.5
1/8/2014,4165.609863,1/8/2014,22.469999
1/9/2014,4156.189941,1/9/2014,21.85
1/10/2014,4174.669922,1/10/2014,21.940001
1/13/2014,4113.299805,1/13/2014,21.5
1/14/2014,4183.02002,1/14/2014,21.42
1/15/2014,4214.879883,1/15/2014,20.709999
1/16/2014,4218.689941,1/16/2014,20.870001
1/17/2014,4197.580078,1/17/2014,20.950001
1/21/2014,4225.759766,1/21/2014,21.48
1/22/2014,4243,1/22/2014,21.969999
1/23/2014,4218.879883,1/23/2014,22.26
1/24/2014,4128.169922,1/24/2014,21.139999
1/27/2014,4083.610107,1/27/2014,21.57
1/28/2014,4097.959961,1/28/2014,22.049999
1/29/2014,4051.429932,1/29/2014,21.940001
1/30/2014,4123.129883,1/30/2014,25.120001
1/31/2014,4103.879883,1/31/2014,27.75
2/3/2014,3996.959961,2/3/2014,26.860001
2/4/2014,4031.52002,2/4/2014,28.25
2/5/2014,4011.550049,2/5/2014,28.32
2/6/2014,4057.120117,2/6/2014,27.780001
2/7/2014,4125.859863,2/7/2014,27.59
2/10/2014,4148.169922,2/10/2014,27.09
2/11/2014,4191.049805,2/11/2014,26.66
2/12/2014,4201.290039,2/12/2014,26.66
2/13/2014,4240.669922,2/13/2014,26.75
2/14/2014,4244.02002,2/14/2014,24.709999
2/18/2014,4272.779785,2/18/2014,24.48
2/19/2014,4237.950195,2/19/2014,24.459999
2/20/2014,4267.549805,2/20/2014,25.1
2/21/2014,4263.410156,2/21/2014,25.299999
2/24/2014,4292.970215,2/24/2014,25.33
2/25/2014,4287.589844,2/25/2014,25.33
2/26/2014,4292.060059,2/26/2014,24.92
2/27/2014,4318.930176,2/27/2014,25.129999
2/28/2014,4308.120117,2/28/2014,25.85
3/3/2014,4277.299805,3/3/2014,25.309999
3/4/2014,4351.970215,3/4/2014,27.629999
3/5/2014,4357.970215,3/5/2014,26.67
3/6/2014,4352.129883,3/6/2014,26.49
3/7/2014,4336.220215,3/7/2014,25.75
